Country,Outcome,Coverage,Mediator,Diet-attributable increase,GLP-1 reduction,Offset ratio
TUR,CKD,20%,FPG,0.0,0.0,0.048
TUR,CKD,20%,LDL,0.0,0.0,0.0
TUR,ICH,20%,SBP,0.9386,1.02,1.0
TUR,ICH,20%,FPG,0.0,0.0874,0.0
TUR,ICH,20%,LDL,0.0,0.0224,0.0
TUR,IHD,20%,SBP,1.3918,1.02,0.733
TUR,IHD,20%,FPG,0.0111,0.0874,1.0
TUR,IHD,20%,LDL,0.1195,0.0224,0.187
TUR,IschStroke,20%,SBP,1.233,1.02,0.827
TUR,IschStroke,20%,FPG,0.0937,0.0874,0.932
TUR,IschStroke,20%,LDL,0.0088,0.0224,1.0
TUR,SAH,20%,SBP,0.8723,1.02,1.0
TUR,SAH,20%,FPG,0.0,0.0874,0.0
TUR,SAH,20%,LDL,0.0,0.0224,0.0
TUR,T2D,20%,SBP,0.0,0.0,0.0
TUR,T2D,20%,FPG,0.0,0.0,0.146
TUR,T2D,20%,LDL,0.0,0.0,0.0
USA,CKD,20%,SBP,0.0,0.0,0.077
USA,CKD,20%,FPG,0.0,0.0,0.048
USA,CKD,20%,LDL,0.0,0.0,0.0
USA,ICH,20%,SBP,1.3421,1.02,0.76
USA,ICH,20%,FPG,0.0028,0.0874,1.0
USA,ICH,20%,LDL,0.0,0.0245,0.0
USA,IHD,20%,SBP,1.6684,1.02,0.611
USA,IHD,20%,FPG,0.0955,0.0874,0.915
USA,IHD,20%,LDL,0.1957,0.0245,0.125
USA,IschStroke,20%,SBP,1.0053,1.02,1.0
USA,IschStroke,20%,FPG,0.3129,0.0874,0.279
USA,IschStroke,20%,LDL,0.0156,0.0245,1.0
USA,SAH,20%,SBP,1.2584,1.02,0.811
USA,SAH,20%,FPG,0.0,0.0874,0.0
USA,SAH,20%,LDL,0.0,0.0245,0.0
USA,T2D,20%,SBP,0.0,0.0,0.0
USA,T2D,20%,FPG,0.0,0.0,0.146
USA,T2D,20%,LDL,0.0,0.0,0.0
ZAF,CKD,20%,SBP,0.0,0.0,0.061
ZAF,CKD,20%,FPG,0.0,0.0,0.048
ZAF,CKD,20%,LDL,0.0,0.0,0.0
ZAF,ICH,20%,SBP,0.7065,1.02,1.0
ZAF,ICH,20%,FPG,0.0549,0.0874,1.0
ZAF,ICH,20%,LDL,0.0,0.0212,0.0
ZAF,IHD,20%,SBP,1.0386,1.02,0.982
ZAF,IHD,20%,FPG,0.103,0.0874,0.849
ZAF,IHD,20%,LDL,0.2114,0.0212,0.1
ZAF,IschStroke,20%,SBP,0.6235,1.02,1.0
ZAF,IschStroke,20%,FPG,0.1846,0.0874,0.473
ZAF,IschStroke,20%,LDL,0.0262,0.0212,0.81
ZAF,SAH,20%,SBP,0.7582,1.02,1.0
ZAF,SAH,20%,FPG,0.0,0.0874,0.0
ZAF,SAH,20%,LDL,0.0,0.0212,0.0
ZAF,T2D,20%,SBP,0.0,0.0,0.0
ZAF,T2D,20%,FPG,0.0,0.0,0.146
ZAF,T2D,20%,LDL,0.0,0.0,0.0
AUS,CKD,50%,SBP,0.0,0.0,0.087
AUS,CKD,50%,FPG,0.0,0.0,0.048
AUS,CKD,50%,LDL,0.0,0.0,0.0
AUS,ICH,50%,SBP,0.5739,2.55,1.0
AUS,ICH,50%,FPG,0.0054,0.2185,1.0
AUS,ICH,50%,LDL,0.0,0.0698,0.0
AUS,IHD,50%,SBP,0.8506,2.55,1.0
AUS,IHD,50%,FPG,0.0789,0.2185,1.0
AUS,IHD,50%,LDL,0.3118,0.0698,0.224
AUS,IschStroke,50%,SBP,0.4823,2.55,1.0
AUS,IschStroke,50%,FPG,0.1745,0.2185,1.0
AUS,IschStroke,50%,LDL,0.0162,0.0698,1.0
AUS,SAH,50%,SBP,0.6579,2.55,1.0
AUS,SAH,50%,FPG,0.0,0.2185,0.0
AUS,SAH,50%,LDL,0.0,0.0698,0.0
AUS,T2D,50%,SBP,0.0,0.0,0.0
AUS,T2D,50%,FPG,0.0,0.0,0.146
AUS,T2D,50%,LDL,0.0,0.0,0.0
BGD,CKD,50%,SBP,0.0,0.0,0.07
BGD,CKD,50%,FPG,0.0,0.0,0.048
BGD,CKD,50%,LDL,0.0,0.0,0.0
BGD,ICH,50%,SBP,1.7299,2.55,1.0
BGD,ICH,50%,FPG,0.0748,0.2185,1.0
BGD,ICH,50%,LDL,0.0,0.0552,0.0
BGD,IHD,50%,SBP,2.4139,2.55,1.0
BGD,IHD,50%,FPG,0.13,0.2185,1.0
BGD,IHD,50%,LDL,0.5531,0.0552,0.1
BGD,IschStroke,50%,SBP,1.6876,2.55,1.0
BGD,IschStroke,50%,FPG,0.1337,0.2185,1.0
BGD,IschStroke,50%,LDL,0.0589,0.0552,0.937
BGD,SAH,50%,SBP,1.6559,2.55,1.0
BGD,SAH,50%,FPG,0.0,0.2185,0.0
BGD,SAH,50%,LDL,0.0,0.0552,0.0
BGD,T2D,50%,SBP,0.0,0.0,0.0
BGD,T2D,50%,FPG,0.0,0.0,0.146
BGD,T2D,50%,LDL,0.0,0.0,0.0
BGR,CKD,50%,SBP,0.0,0.0,0.071
BGR,CKD,50%,FPG,0.0,0.0,0.048
BGR,CKD,50%,LDL,0.0,0.0,0.0
BGR,ICH,50%,SBP,4.9619,2.55,0.514
BGR,ICH,50%,FPG,0.0004,0.2185,1.0
BGR,ICH,50%,LDL,0.0,0.0652,0.0
BGR,IHD,50%,SBP,6.0958,2.55,0.418
BGR,IHD,50%,FPG,0.0721,0.2185,1.0
BGR,IHD,50%,LDL,0.2238,0.0652,0.291
BGR,IschStroke,50%,SBP,4.6935,2.55,0.543
BGR,IschStroke,50%,FPG,0.2014,0.2185,1.0
BGR,IschStroke,50%,LDL,0.0151,0.0652,1.0
BGR,SAH,50%,SBP,4.6992,2.55,0.543
BGR,SAH,50%,FPG,0.0,0.2185,0.0
BGR,SAH,50%,LDL,0.0,0.0652,0.0
BGR,T2D,50%,SBP,0.0,0.0,0.0
BGR,T2D,50%,FPG,0.0,0.0,0.146
BGR,T2D,50%,LDL,0.0,0.0,0.0
BRA,CKD,50%,SBP,0.0,0.0,0.061
BRA,CKD,50%,FPG,0.0,0.0,0.048
BRA,CKD,50%,LDL,0.0,0.0,0.0
BRA,ICH,50%,SBP,1.9297,2.55,1.0
BRA,ICH,50%,FPG,0.0347,0.2185,1.0
BRA,ICH,50%,LDL,0.0,0.0572,0.0
BRA,IHD,50%,SBP,2.3698,2.55,1.0
BRA,IHD,50%,FPG,0.091,0.2185,1.0
BRA,IHD,50%,LDL,0.259,0.0572,0.221
BRA,IschStroke,50%,SBP,1.7747,2.55,1.0
BRA,IschStroke,50%,FPG,0.1866,0.2185,1.0
BRA,IschStroke,50%,LDL,0.0233,0.0572,1.0
BRA,SAH,50%,SBP,1.6924,2.55,1.0
BRA,SAH,50%,FPG,0.0,0.2185,0.0
BRA,SAH,50%,LDL,0.0,0.0572,0.0
BRA,T2D,50%,SBP,0.0,0.0,0.0
BRA,T2D,50%,FPG,0.0,0.0,0.146
BRA,T2D,50%,LDL,0.0,0.0,0.0
CAN,CKD,50%,SBP,0.0,0.0,0.094
CAN,CKD,50%,FPG,0.0,0.0,0.048
CAN,CKD,50%,LDL,0.0,0.0,0.0
CAN,ICH,50%,SBP,1.3768,2.55,1.0
CAN,ICH,50%,FPG,0.0072,0.2185,1.0
CAN,ICH,50%,LDL,0.0,0.0628,0.0
CAN,IHD,50%,SBP,1.7848,2.55,1.0
CAN,IHD,50%,FPG,0.0891,0.2185,1.0
CAN,IHD,50%,LDL,0.1847,0.0628,0.34
CAN,IschStroke,50%,SBP,1.1158,2.55,1.0
CAN,IschStroke,50%,FPG,0.2367,0.2185,0.923
CAN,IschStroke,50%,LDL,0.0137,0.0628,1.0
CAN,SAH,50%,SBP,1.3238,2.55,1.0
CAN,SAH,50%,FPG,0.0,0.2185,0.0
CAN,SAH,50%,LDL,0.0,0.0628,0.0
CAN,T2D,50%,SBP,0.0,0.0,0.0
CAN,T2D,50%,FPG,0.0,0.0,0.146
CAN,T2D,50%,LDL,0.0,0.0,0.0
CHN,CKD,50%,SBP,0.0,0.0,0.109
CHN,CKD,50%,FPG,0.0,0.0,0.048
CHN,CKD,50%,LDL,0.0,0.0,0.0
CHN,ICH,50%,SBP,4.7628,2.55,0.535
CHN,ICH,50%,FPG,0.0,0.2185,0.0
CHN,ICH,50%,LDL,0.0,0.061,0.0
CHN,IHD,50%,SBP,5.1332,2.55,0.497
CHN,IHD,50%,FPG,0.0138,0.2185,1.0
CHN,IHD,50%,LDL,0.2459,0.061,0.248
CHN,IschStroke,50%,SBP,4.1859,2.55,0.609
CHN,IschStroke,50%,FPG,0.0979,0.2185,1.0
CHN,IschStroke,50%,LDL,0.0197,0.061,1.0
CHN,SAH,50%,SBP,5.0974,2.55,0.5
CHN,SAH,50%,FPG,0.0,0.2185,0.0
CHN,SAH,50%,LDL,0.0,0.061,0.0
CHN,T2D,50%,SBP,0.0,0.0,0.0
CHN,T2D,50%,FPG,0.0,0.0,0.146
CHN,T2D,50%,LDL,0.0,0.0,0.0
DEU,CKD,50%,SBP,0.0,0.0,0.114
DEU,CKD,50%,FPG,0.0,0.0,0.048
DEU,CKD,50%,LDL,0.0,0.0,0.0
DEU,ICH,50%,SBP,1.2316,2.55,1.0
DEU,ICH,50%,FPG,0.0032,0.2185,1.0
DEU,ICH,50%,LDL,0.0,0.0688,0.0
DEU,IHD,50%,SBP,1.6101,2.55,1.0
DEU,IHD,50%,FPG,0.0868,0.2185,1.0
DEU,IHD,50%,LDL,0.1943,0.0688,0.354
DEU,IschStroke,50%,SBP,1.0474,2.55,1.0
DEU,IschStroke,50%,FPG,0.2918,0.2185,0.749
DEU,IschStroke,50%,LDL,0.0142,0.0688,1.0
DEU,SAH,50%,SBP,1.2184,2.55,1.0
DEU,SAH,50%,FPG,0.0,0.2185,0.0
DEU,SAH,50%,LDL,0.0,0.0688,0.0
DEU,T2D,50%,SBP,0.0,0.0,0.0
DEU,T2D,50%,FPG,0.0,0.0,0.146
DEU,T2D,50%,LDL,0.0,0.0,0.0
EGY,CKD,50%,SBP,0.0,0.0,0.191
EGY,CKD,50%,FPG,0.0,0.0,0.048
EGY,CKD,50%,LDL,0.0,0.0,0.0
