iso3,outcome,factor,sex_name,age_name,paf,deaths_attr,deaths_lo,deaths_hi,glp1_channel,convergence
MEX,IHD,fruits,Female,65-69 years,0.0271706181871808,109.70876955855388,16.225572284059474,239.782343457747,部分汇流-结构小部可及,0.13
MEX,IHD,fruits,Female,70-74 years,0.0241629485035396,127.99608011448991,21.40371115913172,288.9941890757311,部分汇流-结构小部可及,0.13
MEX,IHD,fruits,Female,75-79 years,0.0229894876278441,161.0405950402304,27.32369307421618,364.0249347036496,部分汇流-结构小部可及,0.13
MEX,IHD,fruits,Female,80-84 years,0.0238311537027445,228.98203898224503,38.39765347490637,515.7408638968375,部分汇流-结构小部可及,0.13
MEX,IHD,fruits,Female,85-89 years,0.0239866291946399,281.6015930534984,48.10166585063435,625.0036280299025,部分汇流-结构小部可及,0.13
MEX,IHD,fruits,Female,90-94 years,0.0240166098611907,243.40292503516224,42.209677832684,542.1125442311151,部分汇流-结构小部可及,0.13
MEX,IHD,fruits,Female,95+ years,0.023984518652962,125.61450453770804,21.01632062222842,286.7331365116078,部分汇流-结构小部可及,0.13
USA,IHD,fruits,Female,25-29 years,0.1137021502681233,9.014299545774588,2.0826859545572605,16.938693266178333,部分汇流-结构小部可及,0.13
USA,IHD,fruits,Female,30-34 years,0.1106929575091993,24.7206262435212,5.621105600693097,45.75980544195178,部分汇流-结构小部可及,0.13
USA,IHD,fruits,Female,35-39 years,0.1031305885797322,50.09511747853264,11.775297950564866,92.7878315407894,部分汇流-结构小部可及,0.13
USA,IHD,fruits,Female,40-44 years,0.0926119259924758,98.74282333881862,22.33702460858977,188.8462797534495,部分汇流-结构小部可及,0.13
USA,IHD,fruits,Female,45-49 years,0.0717116525810147,125.81719995177112,27.131344936652603,257.2972909418875,部分汇流-结构小部可及,0.13
USA,IHD,fruits,Female,50-54 years,0.0562457794916173,187.27058728844827,37.522732933390586,394.31517041583993,部分汇流-结构小部可及,0.13
USA,IHD,fruits,Female,55-59 years,0.0395887906415487,232.9609175536037,41.68951506385376,527.2570919827795,部分汇流-结构小部可及,0.13
USA,IHD,fruits,Female,60-64 years,0.0312168783482967,321.38825366857446,53.687378677915554,758.6269861930601,部分汇流-结构小部可及,0.13
USA,IHD,fruits,Female,65-69 years,0.0268952726810433,375.7141892865373,61.55485056905816,890.5170673734083,部分汇流-结构小部可及,0.13
USA,IHD,fruits,Female,70-74 years,0.0230962706929783,425.4066750657773,65.8079318979618,1017.2351587475029,部分汇流-结构小部可及,0.13
USA,IHD,fruits,Female,75-79 years,0.0229214658182271,535.2947185235479,92.01517625154752,1251.8744163273348,部分汇流-结构小部可及,0.13
USA,IHD,fruits,Female,80-84 years,0.024128685898156,681.5397435667676,117.04074590424968,1557.2211596574,部分汇流-结构小部可及,0.13
USA,IHD,fruits,Female,85-89 years,0.0215557304697935,708.250884599753,115.61432179779835,1697.8310722335668,部分汇流-结构小部可及,0.13
USA,IHD,fruits,Female,90-94 years,0.0210306408613857,697.7161894273577,107.68741590078032,1678.722431047372,部分汇流-结构小部可及,0.13
