iso3,arm,coverage,flow,yr
ROU,combo,0.50,3756.201375052753,10
ROU,combo,afford,5713.975472162847,10
ROU,diet,0.20,1817.780537483549,10
ROU,diet,0.50,1817.780537483549,10
ROU,diet,afford,1817.780537483549,10
ROU,glp1,0.20,790.6154083844776,10
ROU,glp1,0.50,1982.2720373334027,10
ROU,glp1,afford,3984.0951756346262,10
TUR,combo,0.20,3816.843922456921,10
TUR,combo,0.50,7574.82735600576,10
TUR,combo,afford,13875.332290748724,10
TUR,diet,0.20,1320.5909657965767,10
TUR,diet,0.50,1320.5909657965767,10
TUR,diet,afford,1320.5909657965767,10
TUR,glp1,0.20,2516.2659810004443,10
TUR,glp1,0.50,6304.22517225529,10
TUR,glp1,afford,12654.567677367444,10
USA,combo,0.20,17872.685949617247,10
USA,combo,0.50,33475.546692636104,10
USA,combo,afford,59575.08837241195,10
USA,diet,0.20,7494.149007185333,10
USA,diet,0.50,7494.149007185333,10
USA,diet,afford,7494.149007185333,10
USA,glp1,0.20,10495.833868672002,10
USA,glp1,0.50,26273.966889459247,10
USA,glp1,afford,52663.79279180136,10
ZAF,combo,0.20,703.417972942143,10
ZAF,combo,0.50,1688.8476955700137,10
ZAF,combo,afford,2677.8904390284406,10
ZAF,diet,0.20,48.430384575662174,10
ZAF,diet,0.50,48.430384575662174,10
ZAF,diet,afford,48.430384575662174,10
ZAF,glp1,0.20,655.6011730513892,10
ZAF,glp1,0.50,1641.9483623625365,10
ZAF,glp1,afford,2631.905053239316,10
AUS,combo,0.20,981.9418422876332,11
AUS,combo,0.50,1724.8683540786242,11
AUS,combo,afford,2966.52941889419,11
AUS,diet,0.20,487.5079391473355,11
AUS,diet,0.50,487.5079391473355,11
AUS,diet,afford,487.5079391473355,11
AUS,glp1,0.20,501.455793285471,11
AUS,glp1,0.50,1254.8814375439474,11
AUS,glp1,afford,2513.9488443191653,11
BGD,combo,0.20,6744.49236082668,11
BGD,combo,0.50,8214.594732343156,11
BGD,combo,afford,9687.757790350712,11
BGD,diet,0.20,5766.108603189659,11
BGD,diet,0.50,5766.108603189659,11
BGD,diet,afford,5766.108603189659,11
BGD,glp1,0.20,1005.0137653795337,11
BGD,glp1,0.50,2515.060222197919,11
BGD,glp1,afford,4028.165999331197,11
BGR,combo,0.20,1114.4042978606467,11
BGR,combo,0.50,1672.856090435977,11
BGR,combo,afford,2611.944420023066,11
BGR,diet,0.20,744.135535674522,11
BGR,diet,0.50,744.135535674522,11
BGR,diet,afford,744.135535674522,11
BGR,glp1,0.20,377.7642586784544,11
BGR,glp1,0.50,947.4901548149136,11
BGR,glp1,afford,1905.4509126026044,11
BRA,combo,0.20,8133.740968282782,11
BRA,combo,0.50,13938.06835971724,11
BRA,combo,afford,23631.069197066616,11
BRA,diet,0.20,4268.922798061496,11
BRA,diet,0.50,4268.922798061496,11
BRA,diet,afford,4268.922798061496,11
BRA,glp1,0.20,3926.825229265596,11
BRA,glp1,0.50,9823.764660215164,11
BRA,glp1,afford,19670.03880869784,11
CAN,combo,0.20,1272.257150827636,11
CAN,combo,0.50,2405.215813810688,11
CAN,combo,afford,4298.743481258684,11
CAN,diet,0.20,518.254280036399,11
CAN,diet,0.50,518.254280036399,11
CAN,diet,afford,518.254280036399,11
CAN,glp1,0.20,761.3979192312563,11
CAN,glp1,0.50,1905.40354554652,11
CAN,glp1,afford,3817.219383743386,11
CHN,combo,0.20,79520.03650131421,11
CHN,combo,0.50,106622.95827744673,11
CHN,combo,afford,151892.79162007885,11
CHN,diet,0.20,61475.82411712686,11
CHN,diet,0.50,61475.82411712686,11
CHN,diet,afford,61475.82411712686,11
CHN,glp1,0.20,18443.019321388987,11
CHN,glp1,0.50,46143.43062465832,11
CHN,glp1,afford,92407.12852596804,11
DEU,combo,0.20,4887.5217172013,11
DEU,combo,0.50,9122.705024345105,11
DEU,combo,afford,16204.704716122676,11
DEU,diet,0.20,2069.8528332444257,11
DEU,diet,0.50,2069.8528332444257,11
DEU,diet,afford,2069.8528332444257,11
DEU,glp1,0.20,2845.9012637513697,11
DEU,glp1,0.50,7123.337169787686,11
DEU,glp1,afford,14275.49357260764,11
EGY,combo,0.20,5440.664546336677,11
EGY,combo,0.50,11047.827270130949,11
EGY,combo,afford,20495.737854790423,11
EGY,diet,0.20,1727.386656312672,11
EGY,diet,0.50,1727.386656312672,11
EGY,diet,afford,1727.386656312672,11
EGY,glp1,0.20,3738.4935338466794,11
EGY,glp1,0.50,9383.536269431655,11
EGY,glp1,afford,18894.72807928733,11
GBR,combo,0.20,2750.296406362727,11
GBR,combo,0.50,5070.0539382898105,11
GBR,combo,afford,8948.307975691878,11
GBR,diet,0.20,1206.7581622383332,11
GBR,diet,0.50,1206.7581622383332,11
GBR,diet,afford,1206.7581622383332,11
GBR,glp1,0.20,1561.5066620952705,11
GBR,glp1,0.50,3908.1081655826574,11
GBR,glp1,afford,7830.806194317392,11
GLB,combo,0.20,325039.9817566108,11
GLB,combo,0.50,468970.2424985297,11
GLB,combo,afford,709410.4998805987,11
GLB,diet,0.20,229224.40499975777,11
GLB,diet,0.50,229224.40499975777,11
GLB,diet,afford,229224.40499975777,11
GLB,glp1,0.20,97701.45266833284,11
GLB,glp1,0.50,244455.41744530003,11
GLB,glp1,afford,489588.0311055072,11
IND,combo,0.20,38104.16200530458,11
IND,combo,0.50,49405.81350842762,11
IND,combo,afford,68272.52816888483,11
IND,diet,0.20,30577.33545718495,11
IND,diet,0.50,30577.33545718495,11
IND,diet,afford,30577.33545718495,11
IND,glp1,0.20,7645.242711365187,11
IND,glp1,0.50,19124.427286017555,11
IND,glp1,afford,38286.78452609717,11
ISR,combo,0.20,221.9980672152036,11
ISR,combo,0.50,414.6048012464138,11
ISR,combo,afford,736.6325579770341,11
ISR,diet,0.20,93.84506768025368,11
ISR,diet,0.50,93.84506768025368,11
ISR,diet,afford,93.84506768025368,11
ISR,glp1,0.20,129.6146225579456,11
ISR,glp1,0.50,324.4051299891679,11
ISR,glp1,afford,650.049008947118,11
JPN,combo,0.20,3833.35481829695,11
JPN,combo,0.50,5762.323294714992,11
JPN,combo,afford,8981.544642431887,11
JPN,diet,0.20,2548.4330485277424,11
JPN,diet,0.50,2548.4330485277424,11
JPN,diet,afford,2548.4330485277424,11
JPN,glp1,0.20,1302.4377823873074,11
JPN,glp1,0.50,3257.6340292740097,11
JPN,glp1,afford,6520.444819684872,11
MEX,combo,0.20,3789.898371697014,11
MEX,combo,0.50,7765.439136408531,11
MEX,combo,afford,14430.920457866428,11
MEX,diet,0.20,1149.261080788894,11
MEX,diet,0.50,1149.261080788894,11
MEX,diet,afford,1149.261080788894,11
MEX,glp1,0.20,2658.688205348144,11
MEX,glp1,0.50,6661.251587586639,11
MEX,glp1,afford,13371.62336597967,11
NGA,combo,0.20,1342.0624335492394,11
NGA,combo,0.50,2895.0859240311947,11
NGA,combo,afford,2376.733883271114,11
NGA,diet,0.20,310.07268356109125,11
NGA,diet,0.50,310.07268356109125,11
NGA,diet,afford,310.07268356109125,11
NGA,glp1,0.20,1034.6931021903802,11
NGA,glp1,0.50,2591.7649082744138,11
NGA,glp1,afford,2072.064330214489,11
NZL,combo,0.20,266.8731906412577,11
NZL,combo,0.50,479.5526851825798,11
NZL,combo,afford,835.0877860071434,11
NZL,diet,0.20,125.35226799560256,11
NZL,diet,0.50,125.35226799560256,11
NZL,diet,afford,125.35226799560256,11
