iso3,yr,cum_averted,gdd_var,factor
ISR,25,232.0,v01,Fruits
JPN,25,30109.7,v01,Fruits
MEX,25,12817.4,v01,Fruits
NGA,25,34540.9,v01,Fruits
NZL,25,858.4,v01,Fruits
ROU,25,4744.1,v01,Fruits
TUR,25,2417.8,v01,Fruits
USA,25,47445.6,v01,Fruits
ZAF,25,37500.8,v01,Fruits
AUS,26,3922.5,v01,Fruits
BGD,26,94082.6,v01,Fruits
BGR,26,4823.0,v01,Fruits
BRA,26,24721.2,v01,Fruits
CAN,26,2647.2,v01,Fruits
CHN,26,441383.6,v01,Fruits
DEU,26,12775.1,v01,Fruits
EGY,26,12473.6,v01,Fruits
GBR,26,10163.7,v01,Fruits
GLB,26,1892128.6,v01,Fruits
IND,26,1651510.0,v01,Fruits
ISR,26,251.6,v01,Fruits
JPN,26,32216.3,v01,Fruits
MEX,26,13923.5,v01,Fruits
NGA,26,37722.2,v01,Fruits
NZL,26,924.0,v01,Fruits
ROU,26,5040.3,v01,Fruits
TUR,26,2612.1,v01,Fruits
USA,26,51061.6,v01,Fruits
ZAF,26,40569.0,v01,Fruits
AUS,27,4215.2,v01,Fruits
BGD,27,101018.4,v01,Fruits
BGR,27,5095.0,v01,Fruits
BRA,27,26662.4,v01,Fruits
CAN,27,2849.6,v01,Fruits
CHN,27,474908.9,v01,Fruits
DEU,27,13637.8,v01,Fruits
EGY,27,13396.8,v01,Fruits
GBR,27,10888.0,v01,Fruits
GLB,27,2037894.1,v01,Fruits
IND,27,1775927.3,v01,Fruits
ISR,27,271.8,v01,Fruits
JPN,27,34340.7,v01,Fruits
MEX,27,15057.9,v01,Fruits
NGA,27,41017.4,v01,Fruits
NZL,27,990.5,v01,Fruits
ROU,27,5336.1,v01,Fruits
TUR,27,2810.5,v01,Fruits
USA,27,54713.6,v01,Fruits
ZAF,27,43713.8,v01,Fruits
AUS,28,4512.9,v01,Fruits
BGD,28,108065.8,v01,Fruits
BGR,28,5364.8,v01,Fruits
